"WordPress ID","Content type","Old URL","New URL","Language","Slug","Title","Published (JST)","Updated (JST)","Existing categories","Existing tags"
"961","post","/2016/11/27/961/","","unassigned","","PowerShell のプロンプトを変更する","2016-11-27 11:53:37","2016-11-27 11:53:37","PowerShell","PowerShell"
"1011","post","/2017/01/20/1011/","","unassigned","","GetRoomLists / GetRooms の制限","2017-01-20 18:42:14","2017-01-20 18:42:14","EWS | Exchange サーバー全般","EWS"
"1091","post","/2017/04/01/1091/","","unassigned","","Exchange 管理シェルとリモート PowerShell のデータ型の違い","2017-04-01 17:44:15","2017-04-01 17:44:15","Exchange サーバー全般 | PowerShell","Exchange | PowerShell"
"1181","post","/2017/06/15/1181/","","unassigned","","多要素認証を使用した Exchange Online PowerShell の裏側","2017-06-15 20:59:14","2017-06-15 20:59:14","Exchange Online | PowerShell","Exchange Online | PowerShell"
"1282","post","/2018/04/30/1282/","","unassigned","","Remote PowerShell コマンドの既定の出力内容","2018-04-30 02:35:44","2018-08-01 14:15:57","Exchange Online | PowerShell","Exchange Online | PowerShell"
"1296","post","/2018/05/05/1296/","","unassigned","","代理人の設定や非公開の予定を表示する権限を PowerShell で確認する方法","2018-05-05 16:02:22","2018-05-05 16:02:22","Exchange Online | PowerShell","Exchange Online | PowerShell | 予定表 | 非公開の予定"
"1306","post","/2018/05/10/1306/","","unassigned","","Export-TransportRuleCollection コマンドの中身を見る","2018-05-10 23:34:35","2018-05-10 23:34:35","Exchange サーバー全般 | PowerShell","Exchange | PowerShell"
"1309","post","/2018/05/14/1309/","","unassigned","","Format-List コマンドの結果をプロパティの名前でならべかえる","2018-05-14 21:48:34","2018-05-14 21:48:34","Exchange サーバー全般 | PowerShell","PowerShell"
"1340","post","/2018/06/24/1340/","","unassigned","","Office 365 で利用可能なメッセージング関連 API について","2018-06-24 16:23:32","2018-06-24 16:23:32","EWS | Exchange Online | Microsoft Graph | Outlook REST API","EWS | Exchange Online | Microsoft Graph | OAuth | Office 365 | Outlook REST API"
"1350","post","/2018/12/23/1350/","","unassigned","","Exchange Online の PowerShell で警告出力を取得する方法","2018-12-23 03:35:37","2024-02-06 00:10:19","Exchange Online | PowerShell","Exchange Online | PowerShell"
"1360","post","/2019/03/22/1360/","","unassigned","","Outlook Web アドインをVisual Studioでデバッグする方法","2019-03-22 15:58:45","2019-03-22 15:58:48","Web Add-ins","JavaScript API for Office | Outlook | Wed Add-ins"
"1365","post","/2019/05/28/1365/","","unassigned","","Office 365 Reporting web service の MessageTraceDetail をローカライズする","2019-05-28 19:26:08","2019-05-28 19:26:10","Exchange Online | Office 365 | PowerShell","Exchange Online | MessageTrace | MessageTraceDetail | Office 365 | Office 365 Reporting web service | PowerShell"
"1369","post","/2019/07/16/1369/","","unassigned","","Microsoft Graph の試し方","2019-07-16 19:45:52","2023-08-03 21:51:10","Microsoft Graph","Microsoft Graph"
"1372","post","/2019/07/16/1372/","","unassigned","","Outlook REST API の試し方","2019-07-16 21:22:30","2020-11-18 23:25:13","Exchange Online | Outlook REST API","Outlook REST API"
"1378","post","/2019/07/17/1378/","","unassigned","","Exchange Web Service (EWS) の試し方","2019-07-17 20:00:54","2020-11-18 21:21:32","EWS | Exchange Online","EWS | EWSEditor"
"1380","post","/2019/07/19/1380/","","unassigned","","Office 365 Reporting Web サービスの試し方","2019-07-19 19:18:36","2022-09-05 16:14:37","Exchange Online | Office 365 Reporting Web Service | PowerShell","Office 365 | Office 365 Reporting web service | PowerShell"
"1383","post","/2019/07/19/1383/","","unassigned","","Office 365 Management Activity API の試し方","2019-07-19 19:53:08","2022-05-13 11:28:28","Office 365 | Office 365 Management Activity API","Office 365 | Office 365 Management Activity API"
"1394","post","/2019/07/28/1394/","","unassigned","","Office 365 の監査ログを全部取得したい？","2019-07-28 19:05:12","2023-11-06 12:34:29","Office 365 | Office 365 Management Activity API","Microsoft 365 | Office 365 | Office 365 Management Activity API | Search-UnifiedAuditLog"
"1405","post","/2019/08/15/1405/","","unassigned","","Exchange Online の全ユーザーのメールボックスを取得する","2019-08-15 20:33:53","2020-10-20 16:28:10","Exchange Online | Office 365 | PowerShell","Exchange Online | Office 365 | PowerShell"
"1418","post","/2019/08/25/1418/","","unassigned","","Microsoft Graph の getSchedule","2019-08-25 00:49:17","2019-11-14 20:40:31","Exchange Online | Microsoft Graph","Exchange Online | Microsoft Graph"
